What is your age?,Gender?,How many hours per day do you use your smartphone?,Approximate time spent per day on Social media ?(in hours),How often do you check notifications?,Do you use your phone before sleeping?,How long do you use your phone before going to sleep?(in hours),Do you use your device immediately after waking up?,how many hours you sleep daily?,Do you feel tired or sleepy during the day?,How many hours do you study daily?,what is your cgpa?,Are you able to focus while study sessions?,is your digital usage is main source of your stress?,Do you feel addicted to digital devices?,Do you feel stressed after long hours of screen time?,Does spending a lot of time online affect your mood?,Do you feel anxious when you cannot access your phone or internet?
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,1,2,1,1,0,0,0,3.0,0,1,3,0,1,1,2,0,2
20,0,1,1,2,0,0,1,1.0,0,1,3,1,1,1,1,0,3
21,0,3,2,0,0,0,0,1.0,0,1,2,0,0,0,1,0,2
19,1,3,0,1,0,0,1,3.0,1,2,3,1,1,1,2,0,3
18,0,0,1,2,0,0,1,3.0,0,2,3,1,0,1,0,0,4
21,0,3,2,0,0,0,0,1.0,0,1,2,0,0,0,1,0,2
19,0,4,3,1,0,1,1,3.0,1,0,3,0,1,0,2,0,4
19,0,1,0,2,0,0,1,1.0,1,1,1,1,0,1,2,1,2
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
20,1,3,1,0,0,0,0,3.0,0,0,2,0,1,1,2,0,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,0,1,0,1,1,0,1,3.0,1,2,3,1,0,2,1,0,2
19,0,2,1,1,0,1,1,1.0,0,1,3,0,0,0,2,1,2
19,1,2,2,0,0,2,0,1.0,0,0,4,0,0,0,1,0,0
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,1,0,2,0,1,0,1.0,0,0,2,1,1,2,2,2,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
19,0,2,1,2,0,0,1,3.0,2,1,3,1,1,1,2,2,4
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
17,1,1,3,3,0,0,0,1.0,0,1,3,0,1,0,2,0,3
20,0,2,2,1,0,1,0,1.0,0,1,3,0,1,0,1,0,4
20,1,2,0,2,0,0,0,3.0,0,1,3,0,0,1,1,0,2
20,0,1,1,3,1,0,1,3.0,1,1,3,0,1,2,1,0,4
20,1,3,3,0,0,0,0,3.0,0,2,3,0,0,0,2,0,0
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
19,0,3,0,0,0,1,0,1.0,2,0,4,1,1,0,1,0,2
20,1,2,0,2,0,0,0,3.0,0,1,3,0,0,1,1,0,2
21,0,1,1,0,0,0,0,1.0,1,3,3,1,1,2,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
18,1,4,1,2,0,1,1,3.0,1,3,0,1,1,2,2,1,4
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,2,1,1,0,1,1,1.0,1,0,1,0,1,1,2,1,3
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,1,1,2,0,1,1,1.0,0,1,3,1,1,0,1,0,2
20,0,3,1,3,1,0,1,1.0,2,0,3,1,0,1,1,0,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,0,2,1,0,0,0,0,3.0,1,0,2,1,1,2,2,0,4
20,0,2,1,1,0,1,1,1.0,0,0,3,0,1,0,0,1,2
21,0,4,1,0,0,0,0,1.0,0,3,2,1,1,0,2,1,3
17,1,1,3,3,0,0,0,1.0,0,1,3,0,1,0,2,0,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,0,4,2,0,0,1,0,1.0,0,0,2,0,0,0,1,0,0
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,1,2,1,2,0,0,1,1.0,2,0,3,1,1,1,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,2,1,1,0,1,1,1.0,1,0,1,0,1,1,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,0,2,1,2,0,1,0,1.0,0,2,4,1,1,1,1,0,3
21,0,2,1,1,0,0,1,1.0,1,1,2,0,1,1,1,0,3
21,0,4,1,0,0,1,0,1.0,0,1,2,0,0,0,1,0,2
19,1,2,1,1,0,0,0,3.0,1,0,3,0,0,0,1,0,2
20,0,4,1,3,0,3,0,1.0,0,0,0,0,1,1,1,0,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
21,0,1,0,1,0,0,0,1.0,1,3,3,1,1,1,2,0,3
19,1,2,3,2,0,0,1,3.0,1,0,2,1,1,1,2,1,3
20,0,2,2,2,1,0,1,3.0,0,1,3,1,1,1,1,0,3
20,1,2,0,2,0,0,0,3.0,0,1,3,0,0,1,1,0,2
19,0,0,0,3,0,0,1,1.0,1,3,3,1,0,2,2,0,3
21,0,3,2,0,0,0,0,1.0,0,1,2,0,0,0,1,0,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
19,0,1,1,2,0,0,0,1.0,0,1,3,1,1,1,2,0,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,3,0,1,0,0,1,3.0,1,1,4,1,1,2,1,0,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,1,1,1,2,0,0,1,1.0,2,0,2,1,1,2,1,0,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
20,0,1,1,3,1,0,1,3.0,1,1,3,0,1,2,1,0,4
20,0,2,1,1,0,1,1,1.0,1,0,1,0,1,1,2,1,3
19,1,2,1,1,0,0,0,3.0,1,0,3,0,0,0,1,0,2
19,0,4,1,0,0,3,0,1.0,1,0,0,0,0,0,1,0,2
20,0,1,0,2,0,1,0,1.0,0,0,2,1,1,2,2,2,3
20,0,1,0,2,0,1,0,1.0,0,0,2,1,1,2,2,2,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,1,2,1,1,0,1,1,1.0,2,0,3,0,1,1,2,0,2
21,0,2,2,2,0,0,1,1.0,2,3,2,1,1,1,2,1,0
20,0,2,1,1,0,1,1,1.0,0,0,3,0,1,0,0,1,2
19,0,1,0,2,0,0,1,1.0,1,1,1,1,0,1,2,1,2
19,0,1,0,2,0,0,1,1.0,1,1,1,1,0,1,2,1,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,0,4,2,0,0,1,0,1.0,0,0,2,0,0,0,1,0,0
19,0,3,2,0,0,3,0,1.0,0,0,3,0,1,1,2,1,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,1,2,1,3,0,1,0,1.0,0,1,3,0,1,0,1,0,3
19,1,3,1,2,0,1,1,1.0,1,2,3,1,1,1,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,4,3,1,0,3,0,3.0,2,1,2,1,0,0,2,2,2
20,1,2,1,2,0,0,1,1.0,2,0,3,1,1,1,2,1,3
20,1,2,1,2,0,0,1,1.0,2,0,3,1,1,1,2,1,3
21,0,4,3,0,0,3,0,1.0,2,0,3,1,1,0,1,1,0
21,0,4,2,1,0,1,0,3.0,0,0,3,0,1,0,2,0,0
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
20,1,3,1,0,0,0,0,3.0,0,0,2,0,1,1,2,0,2
22,0,2,2,2,0,2,1,3.0,1,1,1,1,0,2,0,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
21,0,1,1,0,0,0,0,1.0,1,3,3,1,1,2,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,1,0,1,0,0,1,3.0,0,0,3,0,1,1,1,0,3
19,1,2,2,0,0,2,0,1.0,0,0,4,0,0,0,1,0,0
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,2,1,2,0,0,1,1.0,0,1,4,1,1,1,1,1,2
21,0,1,0,1,0,0,0,1.0,1,3,3,1,1,1,2,0,3
19,1,2,3,2,0,0,1,3.0,1,0,2,1,1,1,2,1,3
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,0,1,0,1,1,0,1,3.0,1,2,3,1,0,2,1,0,2
19,1,2,1,1,0,0,0,3.0,1,0,3,0,0,0,1,0,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,0,2,0,2,0,0,0,3.0,1,1,4,1,0,1,1,0,2
19,1,3,1,2,0,1,1,1.0,1,2,3,1,1,1,2,1,3
19,0,4,3,1,0,1,1,3.0,1,0,3,0,1,0,2,0,4
19,1,2,1,1,0,1,1,1.0,2,0,3,0,1,1,2,0,2
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
19,1,2,3,2,0,0,1,3.0,1,0,2,1,1,1,2,1,3
19,0,1,0,2,0,0,0,1.0,1,1,4,1,0,1,2,1,4
20,1,0,1,1,1,0,1,3.0,1,2,4,1,1,2,1,0,3
19,1,2,1,0,0,0,0,1.0,0,0,3,0,1,0,1,0,2
19,1,3,2,0,0,2,1,1.0,0,0,4,0,1,2,0,0,3
20,0,2,1,2,0,0,1,1.0,1,0,4,1,1,1,2,1,4
19,0,0,0,3,0,0,1,1.0,1,3,3,1,1,2,1,0,3
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,0,2,1,2,0,0,1,1.0,1,1,3,1,0,1,2,0,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,3,0,0,0,1,0,1.0,2,0,4,1,1,0,1,0,2
19,0,1,1,2,0,0,0,1.0,0,1,3,1,1,1,2,0,3
20,0,2,1,2,0,0,1,1.0,1,0,4,1,1,1,2,1,4
21,0,2,1,2,0,1,0,1.0,0,0,3,0,0,1,1,0,2
19,0,1,1,2,0,0,0,1.0,0,1,3,1,1,1,2,0,3
19,0,4,1,0,0,3,0,1.0,1,0,0,0,0,0,1,0,2
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
20,1,2,1,0,0,0,0,3.0,2,1,2,0,0,1,2,1,3
19,0,1,1,2,0,0,0,1.0,0,1,3,1,1,1,2,0,3
18,1,2,1,2,0,1,1,3.0,1,1,3,1,0,1,1,0,2
20,1,3,3,0,0,0,0,3.0,0,2,3,0,0,0,2,0,0
20,1,2,0,2,0,0,0,3.0,0,1,3,0,0,1,1,0,2
20,0,2,1,2,0,0,0,2.0,1,0,3,0,1,1,2,2,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
21,0,3,2,0,0,0,0,1.0,0,1,2,0,0,0,1,0,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,1,3,3,0,0,0,0,3.0,0,2,3,0,0,0,2,0,0
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
21,0,4,3,0,0,3,0,1.0,2,0,3,1,1,0,1,1,0
20,0,2,1,2,0,0,0,2.0,1,0,3,0,1,1,2,2,3
20,0,4,3,0,0,1,0,3.0,0,2,2,0,0,0,1,0,0
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,0,1,2,0,0,0,1.0,1,2,5,0,1,0,1,2,2
21,0,4,2,1,0,1,0,3.0,0,0,3,0,1,0,2,0,0
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
20,0,3,1,1,0,2,1,1.0,1,2,2,1,0,1,1,0,2
18,1,2,1,2,0,1,1,3.0,1,1,3,1,0,1,1,0,2
21,0,4,2,1,0,1,0,3.0,0,0,3,0,1,0,2,0,0
20,1,4,3,1,0,1,0,3.0,0,1,4,0,1,0,2,0,2
20,0,2,1,2,0,0,1,1.0,1,0,4,1,1,1,2,1,4
17,1,1,3,3,0,0,0,1.0,0,1,3,0,1,0,2,0,3
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
21,0,3,2,0,0,0,0,1.0,0,1,2,0,0,0,1,0,2
20,1,3,2,1,0,1,0,3.0,0,1,4,0,1,0,2,0,2
20,0,2,2,2,0,1,0,3.0,0,2,5,1,1,1,1,1,3
20,0,4,3,0,0,1,0,3.0,0,2,2,0,0,0,1,0,0
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
19,0,3,2,0,0,3,0,1.0,0,0,3,0,1,1,2,1,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,1,4,3,1,0,1,0,3.0,0,1,4,0,1,0,2,0,2
19,1,3,2,0,0,2,1,1.0,0,0,4,0,1,2,0,0,3
18,1,1,1,3,1,0,1,3.0,0,1,3,1,0,1,1,0,2
19,1,2,1,0,0,0,0,1.0,0,0,3,0,1,0,1,0,2
18,1,1,1,3,1,0,1,3.0,0,1,3,1,0,1,1,0,2
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
19,1,2,1,1,0,0,0,3.0,1,0,3,0,0,0,1,0,2
19,1,2,2,0,0,2,0,1.0,0,0,4,0,0,0,1,0,0
19,0,3,2,0,0,3,0,1.0,0,0,3,0,1,1,2,1,2
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
21,0,2,1,2,0,1,0,1.0,0,0,3,0,0,1,1,0,2
19,0,2,1,1,0,1,1,1.0,0,1,3,0,0,0,2,1,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
21,0,3,1,1,0,1,1,3.0,1,3,5,1,1,2,2,1,3
20,1,1,0,2,0,3,1,1.0,1,3,4,1,1,1,2,2,2
20,1,2,1,3,0,1,0,1.0,0,1,3,0,1,0,1,0,3
20,1,2,1,2,0,0,1,1.0,2,0,3,1,1,1,2,1,3
20,0,4,1,0,0,2,0,2.0,0,0,3,0,1,0,0,1,0
20,0,2,1,2,0,0,1,1.0,1,0,4,1,1,1,2,1,4
19,1,2,2,0,0,2,0,1.0,0,0,4,0,0,0,1,0,0
20,0,1,0,1,1,0,1,3.0,1,2,3,1,0,2,1,0,2
18,1,1,1,3,1,0,1,3.0,0,1,3,1,0,1,1,0,2
19,1,2,1,0,0,0,0,1.0,0,0,3,0,1,0,1,0,2
20,0,1,1,2,0,0,1,1.0,0,1,3,1,1,1,1,0,3
17,1,1,3,3,0,0,0,1.0,0,1,3,0,1,0,2,0,3
17,0,0,0,3,1,0,1,2.0,2,3,5,1,1,2,1,2,4
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
19,0,2,1,2,0,0,1,1.0,1,1,2,1,0,1,2,1,3
19,1,2,1,2,1,1,1,1.0,2,2,3,1,1,2,2,1,3
20,1,3,1,0,0,0,0,3.0,0,0,2,0,1,1,2,0,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,0,0,3,0,0,1,1.0,1,3,3,1,1,2,1,0,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
19,0,4,3,1,0,1,1,3.0,1,0,3,0,1,0,2,0,4
19,0,4,3,1,0,1,1,3.0,1,0,3,0,1,0,2,0,4
19,1,2,1,1,0,0,0,3.0,0,1,3,0,1,1,2,0,2
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
22,0,1,0,3,0,0,0,3.0,2,3,3,1,1,2,2,2,3
20,0,2,2,2,0,1,0,3.0,0,2,5,1,1,1,1,1,3
21,0,1,1,2,0,0,1,1.0,2,1,3,1,1,1,1,1,4
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
19,0,2,1,1,0,0,0,3.0,2,1,3,0,1,1,0,1,2
19,0,2,0,3,0,0,1,3.0,1,1,3,1,0,1,2,0,4
20,0,4,1,0,0,2,0,2.0,0,0,3,0,1,0,0,1,0
21,0,2,2,2,0,1,0,3.0,1,0,2,1,1,1,1,0,3
20,0,3,1,2,0,0,1,1.0,0,1,3,1,1,1,2,1,2
19,1,2,2,0,0,2,0,1.0,0,0,4,0,0,0,1,0,0
20,0,1,0,2,0,1,0,1.0,0,0,2,1,1,2,2,2,3
20,0,2,1,3,0,1,0,1.0,0,2,3,1,0,0,1,0,0
19,0,4,2,1,0,0,0,1.0,2,2,3,0,0,1,2,2,2
18,1,3,1,3,0,2,1,3.0,2,2,3,1,1,2,2,1,3
56,0,4,3,0,0,3,0,2.0,2,0,5,1,1,2,0,2,4
20,0,4,2,1,0,3,0,1.0,1,1,2,0,1,1,0,2,2
20,0,2,1,2,0,0,0,2.0,1,0,3,0,1,1,2,2,3
19,1,2,1,1,0,1,1,1.0,2,0,3,0,1,1,2,0,2
